UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
15,L47194,L,298.6,309.2,2035,19.6,40,0,No Failure
51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure
71,M14930,M,298.9,309.0,1924,22.6,193,0,No Failure
102,L47281,L,298.8,308.8,1991,20.7,59,0,No Failure
156,H29569,H,298.4,308.2,1987,19.8,198,0,No Failure
173,M15032,M,298.1,308.0,1924,20.8,29,0,No Failure
178,L47357,L,298.2,308.2,1988,21.4,41,0,No Failure
195,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure
268,L47447,L,297.9,308.0,1954,21.1,42,0,No Failure
285,L47464,L,298.2,308.3,2051,19.2,90,0,No Failure
299,H29712,H,297.9,308.5,2129,18.7,126,0,No Failure
306,L47485,L,297.8,308.4,2129,19.2,148,0,No Failure
337,M15196,M,297.6,308.2,1995,20.5,10,0,No Failure
345,M15204,M,297.5,308.2,2448,13.8,29,0,No Failure
381,L47560,L,297.5,308.3,2564,12.8,127,1,Power Failure
401,L47580,L,297.4,308.5,2100,16.9,176,0,No Failure
419,L47598,L,297.4,308.4,2151,17.7,0,0,No Failure
464,L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure
468,L47647,L,297.2,308.5,2182,16.5,127,0,No Failure
519,L47698,L,297.6,309.5,1924,20.6,37,0,No Failure
520,M15379,M,297.7,309.5,2027,19.8,39,0,No Failure
546,L47725,L,297.6,309.4,1958,22.1,108,0,No Failure
569,L47748,L,297.8,309.7,1935,22.1,171,0,No Failure
586,L47765,L,297.6,309.5,2001,20.5,220,0,No Failure
602,L47781,L,297.9,309.7,2194,16.8,27,0,No Failure
603,L47782,L,297.9,309.8,2000,21.3,29,0,No Failure
604,L47783,L,297.9,309.8,1336,71.6,31,1,Power Failure
624,L47803,L,298.4,310.1,1926,23.7,83,0,No Failure
654,L47833,L,297.8,309.3,2015,20.1,161,0,No Failure
733,L47912,L,297.2,308.6,1924,22.1,163,0,No Failure
750,L47929,L,296.6,308.0,1978,22.3,208,0,No Failure
797,M15656,M,296.9,307.9,2010,18.9,86,0,No Failure
848,L48027,L,296.4,307.4,2833,5.6,213,1,Power Failure
857,L48036,L,296.1,307.1,1898,22.7,20,0,No Failure
862,M15721,M,296.1,306.9,1951,23.3,38,0,No Failure
865,M15724,M,296.0,306.7,2044,22.3,48,0,No Failure
877,L48056,L,295.7,306.3,1915,22.4,79,0,No Failure
881,M15740,M,295.8,306.3,1235,76.2,89,1,Power Failure
888,H30301,H,295.7,306.2,2161,16.5,105,0,No Failure
904,L48083,L,295.7,306.2,2270,14.6,149,1,Power Failure
929,L48108,L,295.6,306.0,1949,21.9,5,0,No Failure
956,L48135,L,295.6,306.3,1911,20.9,74,0,No Failure
978,L48157,L,296.0,306.7,1917,21.0,127,0,No Failure
990,M15849,M,296.2,307.0,2119,18.3,159,0,No Failure
999,M15858,M,296.4,307.2,2071,19.4,183,0,No Failure
1017,M15876,M,296.3,307.2,1319,68.3,24,1,Power Failure
1035,M15894,M,296.3,307.4,1958,19.1,67,0,No Failure
1053,L48232,L,296.7,307.7,1927,23.9,112,0,No Failure
1090,M15949,M,296.9,307.7,2008,17.5,3,0,No Failure
1096,L48275,L,296.9,307.5,2721,9.3,18,1,Power Failure
1116,M15975,M,296.4,307.3,2077,19.1,80,0,No Failure
1125,M15984,M,296.7,307.8,1258,69.0,105,1,Power Failure
1145,L48324,L,297.0,307.9,1296,69.1,153,1,Power Failure
1200,M16059,M,296.9,307.9,1979,20.4,68,0,No Failure
1210,H30623,H,297.0,308.1,2540,13.3,98,0,No Failure
1235,H30648,H,297.2,308.5,2440,14.0,166,0,No Failure
1265,M16124,M,297.8,309.3,2243,15.7,36,0,No Failure
1285,L48464,L,298.4,309.5,2153,15.3,98,1,Power Failure
1305,L48484,L,298.8,310.0,2098,19.6,148,0,No Failure
1320,L48499,L,299.0,310.3,1929,24.4,180,0,No Failure
1325,M16184,M,298.8,310.1,1243,74.5,194,1,Power Failure
1392,L48571,L,298.9,310.2,2737,8.8,142,1,Power Failure
1412,L48591,L,298.9,310.1,1944,23.4,192,0,No Failure
1417,M16276,M,298.7,309.9,2083,18.2,205,0,No Failure
1481,M16340,M,298.2,309.3,2056,18.7,144,0,No Failure
1486,M16345,M,298.1,309.0,1976,19.3,158,0,No Failure
1497,L48676,L,298.0,308.7,1268,69.4,189,1,Power Failure
1500,M16359,M,298.1,308.8,2206,16.3,195,0,No Failure
1501,M16360,M,298.0,308.7,2101,17.4,198,0,No Failure
1526,L48705,L,298.2,309.0,2449,13.8,45,0,No Failure
1542,L48721,L,298.4,309.0,2304,15.1,89,0,No Failure
1563,L48742,L,298.2,308.3,2216,16.8,139,0,No Failure
1565,M16424,M,298.0,308.2,2090,19.0,143,0,No Failure
1576,L48755,L,298.2,308.3,2057,18.0,168,0,No Failure
1624,L48803,L,297.7,307.6,1921,22.9,68,0,No Failure
1723,M16582,M,298.2,307.7,1952,21.6,93,0,No Failure
1724,L48903,L,298.2,307.8,2029,19.9,96,0,No Failure
1727,L48906,L,298.3,307.8,1906,22.1,104,0,No Failure
1739,H31152,H,298.4,307.9,1948,21.4,136,0,No Failure
1748,L48927,L,298.4,307.9,2381,14.2,164,0,No Failure
1752,L48931,L,298.3,307.6,1942,20.6,176,0,No Failure
1762,L48941,L,298.1,307.6,1950,20.3,202,0,No Failure
1770,L48949,L,298.4,307.9,1981,23.2,16,0,No Failure
1785,L48964,L,298.3,308.0,2886,3.8,57,1,Power Failure
1790,L48969,L,298.2,307.9,1313,67.3,67,1,Power Failure
1809,L48988,L,298.1,307.7,2567,12.8,125,1,Power Failure
1820,M16679,M,298.1,307.6,2066,19.2,150,0,No Failure
1889,M16748,M,297.8,307.4,1902,24.3,129,0,No Failure
1904,L49083,L,297.9,307.6,1968,20.4,171,0,No Failure
1909,L49088,L,297.9,307.6,1977,20.2,182,0,No Failure
1921,L49100,L,298.1,307.9,2161,17.5,5,0,No Failure
1932,M16791,M,298.2,308.0,1969,21.7,32,0,No Failure
1937,M16796,M,298.1,308.0,2129,18.4,45,0,No Failure
2038,H31451,H,299.0,308.7,1940,19.9,98,0,No Failure
2059,M16918,M,299.5,309.3,1902,24.0,151,0,No Failure
2081,L49260,L,299.3,309.2,2280,15.4,207,0,No Failure
2090,L49269,L,299.5,309.3,1941,22.5,18,0,No Failure
2121,H31534,H,299.2,308.8,1908,21.3,104,0,No Failure
2126,L49305,L,299.3,308.9,1258,69.4,119,1,Power Failure
2158,M17017,M,299.4,309.0,1939,19.8,204,0,No Failure
2228,L49407,L,299.5,308.8,1965,20.4,164,0,No Failure
2234,L49413,L,299.5,308.7,2549,13.0,179,1,Power Failure
2405,M17264,M,299.1,308.7,2008,20.3,178,0,No Failure
2422,L49601,L,298.9,308.2,2384,15.0,19,0,No Failure
2424,M17283,M,298.9,308.2,2022,20.0,23,0,No Failure
2445,L49624,L,299.2,308.6,1267,68.2,76,1,Power Failure
2453,M17312,M,299.1,308.6,2329,14.6,95,0,No Failure
2456,L49635,L,299.0,308.6,1946,22.3,102,0,No Failure
2515,L49694,L,298.9,308.6,2069,18.7,27,0,No Failure
2545,L49724,L,299.2,309.0,1951,21.4,102,0,No Failure
2575,L49754,L,299.5,309.3,1972,19.3,177,0,No Failure
2588,L49767,L,299.0,308.7,2248,16.8,204,0,No Failure
2590,L49769,L,299.0,308.7,2250,16.6,208,0,No Failure
2599,L49778,L,299.1,308.8,1320,67.5,20,1,Power Failure
2612,L49791,L,299.4,309.1,1957,22.1,55,0,No Failure
2613,L49792,L,299.4,309.1,2421,14.2,57,0,No Failure
2652,L49831,L,299.9,309.5,2008,20.4,165,0,No Failure
2666,L49845,L,299.8,309.4,2256,15.9,201,0,No Failure
2699,L49878,L,300.0,309.4,2010,20.0,55,0,No Failure
2709,L49888,L,299.6,309.1,2266,15.3,79,0,No Failure
2768,L49947,L,300.0,309.5,1925,21.9,9,0,No Failure
2782,L49961,L,300.2,309.5,2183,17.8,39,0,No Failure
2867,L50046,L,300.8,309.7,1997,20.7,5,0,No Failure
2905,L50084,L,300.6,309.4,2496,13.5,111,0,No Failure
2941,L50120,L,300.9,309.7,2355,14.4,201,0,No Failure
2942,M17801,M,300.7,309.6,1996,19.8,203,1,Tool Wear Failure
2944,H32357,H,300.7,309.5,2007,19.7,2,0,No Failure
2946,H32359,H,300.7,309.6,1925,20.5,9,0,No Failure
3001,H32414,H,300.5,309.8,1324,72.8,159,1,Power Failure
3034,M17893,M,300.6,309.7,1934,22.8,15,0,No Failure
3045,L50224,L,300.2,309.4,1981,21.4,44,0,No Failure
3072,L50251,L,300.0,309.0,2174,16.9,112,0,No Failure
3082,M17941,M,300.0,309.3,1932,21.8,135,0,No Failure
3093,M17952,M,300.0,309.3,2293,16.3,170,0,No Failure
3095,L50274,L,300.0,309.3,1972,22.0,175,0,No Failure
3122,L50301,L,300.1,309.4,2141,17.9,33,0,No Failure
3141,H32554,H,300.4,309.9,2563,12.8,81,1,Power Failure
3216,M18075,M,300.5,309.4,2179,16.3,59,0,No Failure
3218,L50397,L,300.6,309.5,2025,21.4,64,0,No Failure
3236,L50415,L,300.8,309.4,1946,20.5,111,0,No Failure
3258,L50437,L,301.2,309.9,1984,19.7,169,0,No Failure
3261,M18120,M,301.3,310.0,2068,17.8,176,0,No Failure
3271,L50450,L,301.4,310.1,1937,21.8,205,0,No Failure
3321,L50500,L,301.5,310.5,2289,16.4,112,0,No Failure
3327,L50506,L,301.5,310.6,1962,20.2,124,0,No Failure
3328,M18187,M,301.5,310.6,2432,14.2,126,0,No Failure
3370,L50549,L,301.5,310.9,2760,8.0,15,1,Power Failure
3372,L50551,L,301.4,310.7,1989,21.8,19,0,No Failure
3433,M18292,M,301.6,310.7,2012,20.7,178,0,No Failure
3434,M18293,M,301.6,310.6,1924,23.6,181,0,No Failure
3438,L50617,L,301.5,310.5,2297,15.8,191,0,No Failure
3455,L50634,L,301.5,310.4,1918,21.8,9,0,No Failure
3458,M18317,M,301.5,310.4,2639,12.0,21,1,Power Failure
3469,L50648,L,301.8,310.7,2092,18.6,51,0,No Failure
3538,M18397,M,302.0,311.0,1980,21.5,20,0,No Failure
3543,L50722,L,301.8,310.9,1899,24.7,31,0,No Failure
3580,L50759,L,301.8,310.6,2672,11.8,124,1,Power Failure
3585,L50764,L,301.8,310.6,1192,68.9,135,0,No Failure
3586,L50765,L,301.9,310.7,1947,25.0,137,0,No Failure
3590,L50769,L,301.7,310.5,2465,13.7,149,0,No Failure
3609,M18468,M,301.7,310.8,1954,21.6,198,0,No Failure
3698,L50877,L,302.2,311.2,1928,23.1,2,0,No Failure
3801,M18660,M,302.1,310.9,1916,23.1,51,0,No Failure
3853,L51032,L,302.3,310.9,2034,19.7,190,0,No Failure
3855,L51034,L,302.4,311.0,1338,67.6,194,1,Power Failure
3868,M18727,M,302.7,311.6,2709,9.7,2,1,Power Failure
3889,L51068,L,302.3,311.2,1903,22.9,55,0,No Failure
3931,M18790,M,302.6,311.6,2041,19.2,174,0,No Failure
3933,L51112,L,302.6,311.6,1953,22.4,180,0,No Failure
3936,M18795,M,302.6,311.6,1227,68.2,187,1,Overstrain Failure
3937,L51116,L,302.5,311.5,1985,18.8,190,0,No Failure
3942,L51121,L,302.2,311.4,1987,19.9,200,0,No Failure
3955,M18814,M,302.3,311.4,1909,23.2,25,0,No Failure
3982,M18841,M,302.2,311.3,1931,21.9,101,0,No Failure
4018,L51197,L,302.0,310.8,1902,23.4,188,0,No Failure
4031,L51210,L,302.0,310.8,2143,17.3,227,0,No Failure
4049,L51228,L,301.9,311.0,2691,12.1,31,1,Power Failure
4054,M18913,M,301.9,310.9,2305,16.1,42,0,No Failure
4062,L51241,L,301.9,310.8,1906,21.7,62,0,No Failure
4064,L51243,L,302.0,310.8,1948,19.7,66,0,No Failure
4072,L51251,L,301.9,310.6,1331,68.6,85,1,Power Failure
4080,L51259,L,302.0,310.5,1978,22.0,106,0,No Failure
4091,L51270,L,302.0,310.5,2197,15.8,133,0,No Failure
4149,L51328,L,301.9,310.3,1972,21.3,67,0,No Failure
4202,L51381,L,302.4,311.0,2211,15.4,203,0,No Failure
4216,M19075,M,302.0,310.7,2157,17.8,17,0,No Failure
4229,L51408,L,302.2,310.8,2203,16.6,47,0,No Failure
4241,L51420,L,302.4,311.1,1905,20.9,77,0,No Failure
