UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure
51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure
195,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure
299,H29712,H,297.9,308.5,2129,18.7,126,0,No Failure
306,L47485,L,297.8,308.4,2129,19.2,148,0,No Failure
345,M15204,M,297.5,308.2,2448,13.8,29,0,No Failure
381,L47560,L,297.5,308.3,2564,12.8,127,1,Power Failure
401,L47580,L,297.4,308.5,2100,16.9,176,0,No Failure
419,L47598,L,297.4,308.4,2151,17.7,0,0,No Failure
464,L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure
464,L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure
468,L47647,L,297.2,308.5,2182,16.5,127,0,No Failure
602,L47781,L,297.9,309.7,2194,16.8,27,0,No Failure
604,L47783,L,297.9,309.8,1336,71.6,31,1,Power Failure
848,L48027,L,296.4,307.4,2833,5.6,213,1,Power Failure
848,L48027,L,296.4,307.4,2833,5.6,213,1,Power Failure
881,M15740,M,295.8,306.3,1235,76.2,89,1,Power Failure
888,H30301,H,295.7,306.2,2161,16.5,105,0,No Failure
904,L48083,L,295.7,306.2,2270,14.6,149,1,Power Failure
990,M15849,M,296.2,307.0,2119,18.3,159,0,No Failure
1096,L48275,L,296.9,307.5,2721,9.3,18,1,Power Failure
1096,L48275,L,296.9,307.5,2721,9.3,18,1,Power Failure
1116,M15975,M,296.4,307.3,2077,19.1,80,0,No Failure
1210,H30623,H,297.0,308.1,2540,13.3,98,0,No Failure
1235,H30648,H,297.2,308.5,2440,14.0,166,0,No Failure
1265,M16124,M,297.8,309.3,2243,15.7,36,0,No Failure
1285,L48464,L,298.4,309.5,2153,15.3,98,1,Power Failure
1305,L48484,L,298.8,310.0,2098,19.6,148,0,No Failure
1325,M16184,M,298.8,310.1,1243,74.5,194,1,Power Failure
1392,L48571,L,298.9,310.2,2737,8.8,142,1,Power Failure
1392,L48571,L,298.9,310.2,2737,8.8,142,1,Power Failure
1417,M16276,M,298.7,309.9,2083,18.2,205,0,No Failure
1500,M16359,M,298.1,308.8,2206,16.3,195,0,No Failure
1501,M16360,M,298.0,308.7,2101,17.4,198,0,No Failure
1526,L48705,L,298.2,309.0,2449,13.8,45,0,No Failure
1542,L48721,L,298.4,309.0,2304,15.1,89,0,No Failure
1563,L48742,L,298.2,308.3,2216,16.8,139,0,No Failure
1565,M16424,M,298.0,308.2,2090,19.0,143,0,No Failure
1748,L48927,L,298.4,307.9,2381,14.2,164,0,No Failure
1785,L48964,L,298.3,308.0,2886,3.8,57,1,Power Failure
1785,L48964,L,298.3,308.0,2886,3.8,57,1,Power Failure
1809,L48988,L,298.1,307.7,2567,12.8,125,1,Power Failure
1921,L49100,L,298.1,307.9,2161,17.5,5,0,No Failure
1937,M16796,M,298.1,308.0,2129,18.4,45,0,No Failure
2081,L49260,L,299.3,309.2,2280,15.4,207,0,No Failure
2234,L49413,L,299.5,308.7,2549,13.0,179,1,Power Failure
2422,L49601,L,298.9,308.2,2384,15.0,19,0,No Failure
2453,M17312,M,299.1,308.6,2329,14.6,95,0,No Failure
2588,L49767,L,299.0,308.7,2248,16.8,204,0,No Failure
